,country,province,region_1,year,lat,lon,location,avg_temp,min_temp,max_temp,precipitation_in_mm,wind_average_kmh,wind_peak_kmh,sun_minutes
0,test,Sicily & Sardinia,Etna,2013,39.373062,9.157212,1,21.509345794392523,16.777339901477834,26.44694835680751,0.6550239234449761,15.96489361702128,,
1,Portugal,Douro,,2011,39.8862651,-8.2687312,1,19.021028037383182,13.7255033557047,26.029716981132072,9.736842105263158,,,
2,US,Oregon,Willamette Valley,2013,45.4206749,-122.670649,1,16.36121495327103,11.382710280373832,22.425233644859812,1.8817757009345797,9.02570093457944,,
3,US,Michigan,Lake Michigan Shore,2013,41.7075394,-86.8950297,1,16.006103286384974,10.642253521126761,21.388732394366194,0.7783582089552239,8.595283018867924,,
4,US,Oregon,Willamette Valley,2012,45.4206749,-122.670649,1,16.184579439252335,11.049532710280376,22.21121495327102,2.0327102803738315,9.443457943925234,,
5,Italy,Sicily & Sardinia,Vittoria,2013,39.373062,9.157212,1,21.509345794392523,16.777339901477834,26.44694835680751,0.6550239234449761,15.96489361702128,,
6,France,Alsace,Alsace,2012,48.684872850000005,2.17560777527428,1,14.992990654205608,11.049532710280376,19.22009345794392,2.1397196261682243,11.940952380952378,,
7,Germany,Rheinhessen,,2013,49.9045181,8.2711082,1,13.6107476635514,9.766355140186915,17.92803738317757,1.9640186915887847,8.819339622641511,,
8,US,California,Napa Valley,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
9,US,California,Alexander Valley,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
10,Italy,Sicily & Sardinia,Etna,2012,39.373062,9.157212,1,21.898130841121496,16.540776699029124,27.57075471698113,0.7702830188679246,15.981656804733728,,
11,US,California,Central Coast,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
12,Germany,Mosel,,2013,50.7810263,12.4780171,1,13.88271028037383,8.854205607476636,18.85373831775701,2.80981308411215,,,
13,US,Virginia,Virginia,2012,47.52326,-92.536571,1,13.01990521327014,6.109004739336493,19.597156398104264,0.35918367346938773,9.11179245283019,,
14,US,Oregon,Oregon,2013,45.4206749,-122.670649,1,16.36121495327103,11.382710280373832,22.425233644859812,1.8817757009345797,9.02570093457944,,
15,Italy,Sicily & Sardinia,Sicilia,2007,39.373062,9.157212,1,21.243925233644855,15.982242990654205,26.834579439252337,0.6429906542056074,13.982456140350877,,
16,US,California,Paso Robles,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
17,Italy,Sicily & Sardinia,Sicilia,2009,39.373062,9.157212,1,21.606542056074773,16.758490566037736,26.812206572769952,1.4785046728971962,15.220238095238095,,
18,US,California,Sonoma Coast,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
