,index,country,province,region_1,year,lat,lon,location,avg_temp,min_temp,max_temp,precipitation_in_mm,wind_average_kmh,wind_peak_kmh,sun_minutes
0,0.0,Italy,Sicily & Sardinia,Etna,2013,39.373062,9.157212,1,21.509345794392523,16.777339901477834,26.44694835680751,0.6550239234449761,15.96489361702128,,
1,1.0,Portugal,Douro,,2011,39.8862651,-8.2687312,1,19.021028037383182,13.7255033557047,26.029716981132072,9.736842105263158,,,
2,2.0,US,Oregon,Willamette Valley,2013,45.4206749,-122.670649,1,16.36121495327103,11.382710280373832,22.425233644859812,1.8817757009345797,9.02570093457944,,
3,3.0,US,Michigan,Lake Michigan Shore,2013,41.7075394,-86.8950297,1,16.006103286384974,10.642253521126761,21.388732394366194,0.7783582089552239,8.595283018867924,,
4,4.0,US,Oregon,Willamette Valley,2012,45.4206749,-122.670649,1,16.184579439252335,11.049532710280376,22.21121495327102,2.0327102803738315,9.443457943925234,,
5,6.0,Italy,Sicily & Sardinia,Vittoria,2013,39.373062,9.157212,1,21.509345794392523,16.777339901477834,26.44694835680751,0.6550239234449761,15.96489361702128,,
6,7.0,France,Alsace,Alsace,2012,48.684872850000005,2.17560777527428,1,14.992990654205608,11.049532710280376,19.22009345794392,2.1397196261682243,11.940952380952378,,
7,8.0,Germany,Rheinhessen,,2013,49.9045181,8.2711082,1,13.6107476635514,9.766355140186915,17.92803738317757,1.9640186915887847,8.819339622641511,,
8,10.0,US,California,Napa Valley,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
9,12.0,US,California,Alexander Valley,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
10,13.0,Italy,Sicily & Sardinia,Etna,2012,39.373062,9.157212,1,21.898130841121496,16.540776699029124,27.57075471698113,0.7702830188679246,15.981656804733728,,
11,14.0,US,California,Central Coast,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
12,15.0,Germany,Mosel,,2013,50.7810263,12.4780171,1,13.88271028037383,8.854205607476636,18.85373831775701,2.80981308411215,,,
13,19.0,US,Virginia,Virginia,2012,47.52326,-92.536571,1,13.01990521327014,6.109004739336493,19.597156398104264,0.35918367346938773,9.11179245283019,,
14,21.0,US,Oregon,Oregon,2013,45.4206749,-122.670649,1,16.36121495327103,11.382710280373832,22.425233644859812,1.8817757009345797,9.02570093457944,,
15,22.0,Italy,Sicily & Sardinia,Sicilia,2007,39.373062,9.157212,1,21.243925233644855,15.982242990654205,26.834579439252337,0.6429906542056074,13.982456140350877,,
16,23.0,US,California,Paso Robles,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
17,24.0,Italy,Sicily & Sardinia,Sicilia,2009,39.373062,9.157212,1,21.606542056074773,16.758490566037736,26.812206572769952,1.4785046728971962,15.220238095238095,,
18,25.0,US,California,Sonoma Coast,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
19,26.0,Italy,Sicily & Sardinia,Terre Siciliane,2013,39.373062,9.157212,1,21.509345794392523,16.777339901477834,26.44694835680751,0.6550239234449761,15.96489361702128,,
20,28.0,Italy,Sicily & Sardinia,Cerasuolo di Vittoria,2011,39.373062,9.157212,1,21.28411214953271,15.866346153846154,26.934579439252335,0.7060747663551402,15.85672514619883,,
21,29.0,US,California,Clarksburg,2010,36.778259,-119.417931,1,22.446948356807514,14.869158878504672,30.273364485981308,0.3378504672897196,10.761682242990654,,
22,30.0,France,Beaujolais,Beaujolais-Villages,2012,46.1186123,4.6156707,1,16.122598870056496,11.626553672316385,21.30338983050848,,8.56590909090909,,
23,31.0,Italy,Sicily & Sardinia,Sicilia,2010,39.373062,9.157212,1,20.713551401869157,15.949758454106277,26.03849765258216,0.8779342723004695,15.747916666666667,,
24,32.0,Italy,Sicily & Sardinia,Sicilia,2011,39.373062,9.157212,1,21.28411214953271,15.866346153846154,26.934579439252335,0.7060747663551402,15.85672514619883,,
25,33.0,US,California,Dry Creek Valley,2010,36.778259,-119.417931,1,22.446948356807514,14.869158878504672,30.273364485981308,0.3378504672897196,10.761682242990654,,
26,34.0,US,California,Sonoma Valley,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
27,35.0,US,Oregon,McMinnville,2010,45.4206749,-122.670649,1,15.20514018691589,10.563084112149534,20.819626168224296,2.368224299065421,9.773831775700936,,
28,41.0,US,Oregon,Willamette Valley,2009,45.4206749,-122.670649,1,16.876635514018695,11.555607476635517,23.129906542056073,1.4757009345794394,9.879906542056075,,
29,42.0,France,Beaujolais,Beaujolais,2012,46.1186123,4.6156707,1,16.122598870056496,11.626553672316385,21.30338983050848,,8.56590909090909,,
30,45.0,US,Virginia,Virginia,2010,47.52326,-92.536571,1,13.67196261682243,7.279906542056075,19.750467289719627,0.914705882352941,9.759154929577464,,
31,47.0,US,California,Lake County,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
32,48.0,US,Virginia,Monticello,2011,47.52326,-92.536571,1,13.007009345794392,6.732710280373833,19.19906542056075,0.19800000000000004,9.427570093457945,,
33,49.0,France,Beaujolais,Brouilly,2011,46.1186123,4.6156707,1,17.43793103448276,12.12955665024631,23.1512315270936,,7.970935960591134,,
34,50.0,Italy,Sicily & Sardinia,Sicilia,2008,39.373062,9.157212,1,21.496728971962618,16.26822429906542,26.79065420560748,0.8364485981308412,,,
35,52.0,Italy,Sicily & Sardinia,Monica di Sardegna,2010,39.373062,9.157212,1,20.713551401869157,15.949758454106277,26.03849765258216,0.8779342723004695,15.747916666666667,,
36,53.0,France,Bordeaux,Bordeaux Blanc,2011,44.841225,-0.5800364,1,18.418691588785048,13.148130841121494,24.47336448598131,1.1817757009345793,11.133658536585363,,
37,55.0,US,California,Napa Valley,2010,36.778259,-119.417931,1,22.446948356807514,14.869158878504672,30.273364485981308,0.3378504672897196,10.761682242990654,,
38,56.0,US,California,North Coast,2010,36.778259,-119.417931,1,22.446948356807514,14.869158878504672,30.273364485981308,0.3378504672897196,10.761682242990654,,
39,59.0,US,Washington,Columbia Valley (WA),2014,38.8950368,-77.0365427,1,21.49953271028038,16.86214953271028,26.46682242990654,3.255140186915888,12.409345794392525,,
40,60.0,US,California,Napa Valley,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
41,64.0,US,California,Santa Ynez Valley,2015,36.778259,-119.417931,1,24.21682242990654,16.74859813084112,31.86682242990654,0.3411214953271028,11.126168224299066,,
42,67.0,US,Washington,Columbia Valley (WA),2013,38.8950368,-77.0365427,1,21.16775700934579,16.7285046728972,26.165420560747663,3.4177570093457947,12.805140186915889,,
