,year,country,province,region_1,lat,lon,location,avg_temp,min_temp,max_temp
5121,2013.0,US,California,Sierra Foothills,36.778259,-119.417931,1,24.64392523364486,5.6,43.3
5129,2014.0,Canada,British Columbia,Okanagan Valley,49.25839375,-123.24658161001928,1,15.192056074766358,-6.7,29.7
5131,2013.0,Chile,Puente Alto,,-33.6095279,-70.5754736,0,,,
5145,2001.0,US,California,California,36.778259,-119.417931,1,24.004205607476635,1.7,43.3
5146,1999.0,US,Washington,Red Mountain,38.8950368,-77.0365427,1,21.14252336448598,3.9,39.4
5149,2000.0,Australia,South Australia,Padthaway,-34.7411213,138.6564373,0,,,
5150,2006.0,US,Oregon,Southern Oregon,45.4206749,-122.670649,1,16.643661971830984,-1.1,40.0
5154,2008.0,US,California,Monterey County,36.778259,-119.417931,1,23.722748815165875,4.4,44.4
5156,2007.0,Australia,South Australia,Clarendon,-34.7411213,138.6564373,0,,,
5169,2008.0,US,Oregon,Umpqua Valley,45.4206749,-122.670649,1,15.628971962616822,-0.6,38.9
5171,2007.0,US,California,Mount Veeder,36.778259,-119.417931,1,23.181690140845074,3.9,43.9
5173,2008.0,US,Oregon,Columbia Valley (OR),45.4206749,-122.670649,1,15.628971962616822,-0.6,38.9
5175,2009.0,Austria,Wachau,,48.3275563,15.41162578949626,1,16.189719626168223,0.0,35.0
5176,2010.0,New Zealand,Kumeu,,-36.7753095,174.5546604,0,,,
5211,2012.0,Germany,Pfalz,,53.8156324,13.3702287,1,13.522429906542056,-4.0,34.7
5214,1999.0,Germany,Mosel,,50.7810263,12.4780171,1,14.478971962616823,-2.4,32.1
5215,2011.0,US,California,St. Helena,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
5217,2012.0,US,Oregon,McMinnville,45.4206749,-122.670649,1,16.184579439252335,-0.6,38.9
5250,2012.0,Spain,Catalonia,Penedès,41.390205,2.154007,1,21.44906542056075,6.0,34.0
5253,2013.0,Canada,British Columbia,Okanagan Valley,49.25839375,-123.24658161001928,1,14.839719626168224,4.1,27.4
5263,2009.0,Greece,Rapsani,,39.9020296,22.54849,1,21.030841121495328,1.0,43.4
5278,2012.0,Austria,Burgenland,,47.1863428,16.164464,1,16.234502923976606,-3.3,34.6
5281,2010.0,South Africa,Paarl,,-33.741667,18.975,0,,,
5289,2011.0,Austria,Vienna,,48.2083537,16.3725042,1,16.78317757009346,0.3,35.7
5290,2009.0,Australia,New South Wales,Hunter Valley,-33.9175545,151.2291515,0,,,
5291,2011.0,Australia,Victoria,Victoria,-21.2309116,148.9741517,0,,,
5292,2007.0,US,California,Santa Maria Valley,36.778259,-119.417931,1,23.181690140845074,3.9,43.9
5293,2006.0,Australia,South Australia,Coonawarra,-34.7411213,138.6564373,0,,,
5294,2009.0,Australia,South Australia,Coonawarra,-34.7411213,138.6564373,0,,,
5307,2009.0,South Africa,Paarl,,-33.741667,18.975,0,,,
5328,2009.0,US,California,El Dorado,36.778259,-119.417931,1,23.683644859813086,3.3,44.4
5331,2011.0,France,Provence,Coteaux d'Aix-en-Provence,46.0974492,4.5808081,1,17.43793103448276,0.8,37.0
5336,2007.0,Italy,Sicily & Sardinia,Isola dei Nuraghi,39.373062,9.157212,1,21.243925233644855,5.0,39.8
5341,2011.0,France,Provence,Coteaux Varois,46.0974492,4.5808081,1,17.43793103448276,0.8,37.0
5348,2014.0,Austria,Kremstal,,48.40999,15.60384,1,15.553271028037386,1.5,34.6
5354,2013.0,New Zealand,Nelson,,-41.2710849,173.2836756,0,,,
5363,2011.0,New Zealand,Nelson,,-41.2710849,173.2836756,0,,,
5366,2011.0,New Zealand,Marlborough,,-36.7846223,174.723989,0,,,
5367,2012.0,South Africa,Constantia,,-34.0283333,18.4155556,0,,,
5369,2011.0,New Zealand,Martinborough,,-41.2183252,175.4594856,0,,,
5381,2009.0,Germany,Rheinhessen,,49.9045181,8.2711082,1,14.283644859813084,-2.2,33.0
5387,2010.0,US,California,Mendocino,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
5389,2011.0,US,Arizona,Cochise County,34.048927,-111.093735,1,20.12789115646258,-4.0,36.0
5395,2012.0,Portugal,Lisboa,,38.7077507,-9.1365919,1,19.747663551401867,7.7,36.0
5397,2012.0,US,California,Monterey,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
5401,2007.0,Spain,Andalucia,Vino de la Tierra Altiplano de Sierra Nevada,37.178055,-3.600833,1,19.523364485981308,-0.9,39.6
5407,2012.0,Hungary,Tokaj,,48.1235534,21.4113895,1,,,
5442,2008.0,US,New York,North Fork of Long Island,40.7127281,-74.0060152,1,19.364953271028035,0.6,37.2
5443,2009.0,US,California,Potter Valley,36.778259,-119.417931,1,23.683644859813086,3.3,44.4
5445,2009.0,France,Provence,Bandol,46.0974492,4.5808081,1,17.34158415841584,-1.0,37.5
5448,2007.0,Italy,Veneto,Recioto della Valpolicella Classico,45.666668,12.25,1,19.657943925233642,1.2,36.2
5455,2010.0,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,45.666668,12.25,1,19.44252336448598,2.0,36.6
5459,2009.0,US,Virginia,Virginia,47.52326,-92.536571,1,11.708920187793428,-6.0,30.6
5480,2010.0,US,Oregon,Columbia Gorge (OR),45.4206749,-122.670649,1,15.20514018691589,1.1,36.7
5481,2012.0,US,Oregon,Columbia Gorge (OR),45.4206749,-122.670649,1,16.184579439252335,-0.6,38.9
5485,2011.0,US,California,Pine Mountain-Cloverdale Peak,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
5490,2010.0,France,Bordeaux,Saint-Émilion,44.841225,-0.5800364,1,17.42336448598131,0.3,36.7
5509,2012.0,Austria,Weinviertel,,48.4653367,16.28614802566092,1,16.964953271028037,-1.9,36.3
5526,2013.0,Spain,Catalonia,Costers del Segre,41.390205,2.154007,1,20.815420560747665,6.9,33.0
5534,2013.0,Spain,Catalonia,Montsant,41.390205,2.154007,1,20.815420560747665,6.9,33.0
5548,2010.0,US,California,Sonoma Mountain,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
5549,2009.0,South Africa,Swartland,,-33.29356,18.599382501779992,0,,,
5556,2006.0,France,Provence,Les Baux de Provence,46.0974492,4.5808081,1,17.296449704142013,0.4,36.5
5566,2008.0,US,California,Bennett Valley,36.778259,-119.417931,1,23.722748815165875,4.4,44.4
5578,2005.0,US,California,Santa Lucia Highlands,36.778259,-119.417931,1,22.922535211267604,4.4,42.8
5579,2005.0,Italy,Veneto,Custoza Superiore,45.666668,12.25,1,18.90046728971963,1.2,35.8
5581,2005.0,US,California,Yolo County,36.778259,-119.417931,1,22.922535211267604,4.4,42.8
5585,2006.0,US,California,North Coast,36.778259,-119.417931,1,23.44716981132075,5.6,45.0
5587,2004.0,US,Washington,Yakima Valley,38.8950368,-77.0365427,1,21.0,-0.6,33.3
5589,2006.0,Italy,Veneto,Veronese,45.666668,12.25,1,19.746728971962614,1.0,37.0
5593,2008.0,Germany,Rheingau,,50.0442658,8.1915377,1,15.274766355140187,-0.9,31.2
5595,2010.0,Chile,San Antonio,,-33.5932016,-71.6288148,0,,,
5598,2005.0,US,New York,North Fork of Long Island,40.7127281,-74.0060152,1,20.177102803738315,1.7,38.9
5599,2009.0,Germany,Nahe,,53.7942267,10.13793,1,13.635046728971961,-1.0,33.4
5604,2006.0,Italy,Veneto,Valpolicella Superiore,45.666668,12.25,1,19.746728971962614,1.0,37.0
5609,2008.0,Italy,Veneto,Valpolicella Superiore Ripasso,45.666668,12.25,1,19.57336448598131,4.0,33.6
5613,2009.0,US,California,Carmel Valley,36.778259,-119.417931,1,23.683644859813086,3.3,44.4
5623,2005.0,Australia,South Australia,Eden Valley,-34.7411213,138.6564373,0,,,
5630,2005.0,US,California,Red Hills Lake County,36.778259,-119.417931,1,22.922535211267604,4.4,42.8
5644,2004.0,Austria,Burgenland,,47.1863428,16.164464,1,14.82521739130435,-0.3,33.6
5655,2012.0,US,California,Sonoma Mountain,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
5657,2015.0,Canada,British Columbia,Okanagan Valley,49.25839375,-123.24658161001928,1,15.241121495327105,-4.3,31.4
5660,2015.0,US,California,Temecula Valley,36.778259,-119.417931,1,24.21682242990654,6.1,42.2
5686,2008.0,US,California,Santa Lucia Highlands,36.778259,-119.417931,1,23.722748815165875,4.4,44.4
5712,2011.0,US,California,Oakville,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
5723,2014.0,US,California,Big Valley District-Lake County,36.778259,-119.417931,1,25.482710280373833,6.1,43.3
5734,2014.0,France,Provence,Bandol,46.0974492,4.5808081,1,15.591346153846153,-1.3,36.2
5735,2015.0,France,Provence,Les Baux de Provence,46.0974492,4.5808081,1,16.30048076923077,-1.7,38.2
5751,2013.0,US,California,Oak Knoll District,36.778259,-119.417931,1,24.64392523364486,5.6,43.3
5761,2013.0,Romania,Recas,,45.8017074,21.5092923,1,17.898598130841123,-2.0,38.0
5763,2013.0,US,California,Fort Ross-Seaview,36.778259,-119.417931,1,24.64392523364486,5.6,43.3
5771,2013.0,US,California,San Luis Obispo County,36.778259,-119.417931,1,24.64392523364486,5.6,43.3
5777,2012.0,US,California,San Antonio Valley,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
5792,2012.0,US,California,Los Carneros,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
5796,2014.0,US,California,Calistoga,36.778259,-119.417931,1,25.482710280373833,6.1,43.3
5835,2015.0,US,California,Amador County,36.778259,-119.417931,1,24.21682242990654,6.1,42.2
5837,2011.0,US,California,Sierra Pelona Valley,36.778259,-119.417931,1,22.850000000000005,2.8,41.7
5842,2015.0,Italy,Veneto,Valpolicella,45.666668,12.25,1,20.18411214953271,-0.8,39.4
5843,2016.0,US,California,North Coast,36.778259,-119.417931,1,23.931775700934576,7.8,42.8
5849,2016.0,Portugal,Dão,,39.9375585,-7.8638768,1,20.70934579439253,4.7,41.4
5852,2014.0,Brazil,Pinto Bandeira,,-29.0977191,-51.4498258,0,,,
5854,2015.0,France,Bordeaux,Côtes de Bordeaux,44.841225,-0.5800364,1,17.57383177570093,1.6,38.3
5855,2015.0,France,Bordeaux,Cadillac Côtes de Bordeaux,44.841225,-0.5800364,1,17.57383177570093,1.6,38.3
5867,2015.0,Australia,South Australia,Clare Valley,-34.7411213,138.6564373,0,,,
5884,2014.0,US,California,Sonoma County-Napa County,36.778259,-119.417931,1,25.482710280373833,6.1,43.3
5885,2015.0,US,California,San Luis Obispo,36.778259,-119.417931,1,24.21682242990654,6.1,42.2
5897,2010.0,US,California,Rutherford,36.778259,-119.417931,1,22.446948356807514,3.9,43.3
5920,2012.0,US,California,Atlas Peak,36.778259,-119.417931,1,24.43598130841121,3.3,43.9
5939,2012.0,France,Bordeaux,Graves,44.841225,-0.5800364,1,17.52196261682243,0.2,39.1
5940,2012.0,France,Bordeaux,Pessac-Léognan,44.841225,-0.5800364,1,17.52196261682243,0.2,39.1
5943,2012.0,France,Bordeaux,Saint-Estèphe,44.841225,-0.5800364,1,17.52196261682243,0.2,39.1
5944,2007.0,US,California,Spring Mountain District,36.778259,-119.417931,1,23.181690140845074,3.9,43.9
5953,2009.0,US,California,Los Carneros,36.778259,-119.417931,1,23.683644859813086,3.3,44.4
