"word";"in documents";"total"
"oaki";2781;2899
"offer";15749;16149
"old";2162;2282
"oliv";1809;1919
"open";6306;6327
"opul";1539;1544
"orang";5861;6170
"overal";1619;1623
"pack";2408;2421
"pair";3205;3216
"palat";37794;38634
"part";1151;1184
"peach";9196;9590
"pear";8419;8927
"peel";2577;2644
"pepper";9923;10376
"pepperi";2476;2524
"perfect";1177;1188
"perfum";3675;3716
"persist";1427;1434
"petal";1203;1215
"petit";3036;3190
"pie";1599;1613
"pineappl";4257;4306
"pink";1681;1773
"pinot";6607;7132
"plai";1215;1230
"pleas";1074;1080
"pleasant";1605;1617
"plenti";3430;3471
"plum";15124;16381
"plump";1534;1540
"plush";1365;1370
"point";949;959
"polish";2466;2475
"pomegran";1317;1344
"potenti";1605;1616
"power";5415;5557
"press";1046;1048
"pretti";3201;3232
"price";2628;2662
"produc";3951;4020
"profil";906;906
"promis";1092;1111
"provid";2671;2700
"prune";1927;1992
"pure";2420;2480
"purpl";1327;1371
"qualiti";2312;2349
"raci";1454;1466
"raisin";1791;1863
"raspberri";10763;11064
"raw";1388;1407
"readi";5181;5199
"red";19483;22028
"refin";1185;1197
"refresh";4141;4195
"region";1271;1290
"releas";939;952
"remain";1543;1554
"reserv";1060;1074
"residu";903;903
"restrain";1097;1103
"result";1139;1147
"reveal";1399;1403
"rich";20900;22030
"richli";1016;1017
"riesl";2508;2587
"rind";1162;1188
"ripe";27235;29142
"roast";3033;3181
"robust";1151;1158
"rose";2732;2800
"rosé";1967;2068
"round";3321;3360
"rubberi";978;1035
"run";1048;1051
"rustic";1447;1454
"s";42397;52148
"sage";1748;1769
"salti";1113;1149
"sandalwood";961;963
"sangioves";2031;2055
"sauc";933;947
"sauvignon";7641;7747
"savori";5206;5345
"scent";4355;4376
"seem";3390;3479
"select";1022;1034
"sens";1836;1869
"seriou";975;980
"set";1670;1677
"sharp";2112;2162
"show";17726;18569
"side";2184;2244
"silki";3041;3050
"simpl";3791;3822
"singl";1228;1257
"sip";2073;2117
"sirah";1100;1119
"site";966;980
"skin";3333;3399
"slight";1049;1058
"slightli";4965;5103
"smell";2287;2314
"smoke";3978;4176
"smoki";4515;4573
"smooth";7546;7622
"soft";13805;14243
"soften";1552;1553
"soil";1396;1414
"solid";3737;3794
"somewhat";1389;1400
"sour";2344;2394
"sourc";1364;1370
"spice";22302;23544
"spici";7282;7559
"stage";956;957
"star";1083;1088
"start";2075;2091
"steeli";1221;1222
"stew";943;953
"stone";4008;4108
"straightforward";1541;1543
"strawberri";4770;4902
"streak";1846;1854
"strong";2873;2929
"structur";12709;13115
"style";6811;6956
"subtl";2532;2575
"succul";1110;1111
"sugar";2012;2067
"suggest";3876;3917
"suppl";2022;2034
"support";2379;2385
"sweet";14724;15928
"syrah";5389;5597
"t";3775;3907
"take";2213;2239
"tangerin";2373;2394
"tangi";3351;3378
"tannic";6190;6365
"tannin";31959;32980
"tar";1053;1067
"tart";6659;6812
"tast";6788;7003
"tasti";1003;1004
"taut";1127;1133
"tea";1928;1963
"term";1226;1233
"textur";15631;15956
"thick";2438;2489
"thin";1012;1019
"thyme";1085;1106
"tight";5156;5245
"tightli";1464;1470
"time";4415;4530
"toast";8412;8662
"toasti";3352;3454
"tobacco";5068;5209
"tomato";1430;1514
"tone";4098;4239
"top";1577;1600
"touch";10240;10553
"tough";926;943
"tropic";3804;3911
"turn";1790;1813
"typic";1116;1124
"underbrush";1277;1277
"unusu";1028;1042
"vallei";2092;2187
"valu";1141;1148
"vanilla";10644;11063
"variet";2221;2244
"varieti";2715;2731
"velveti";2226;2232
"verdot";1912;1923
"vibrant";2524;2543
"vine";2281;2366
"vineyard";7984;8338
"vintag";4720;4860
"viognier";1287;1320
"violet";2779;2820
"warm";2863;2899
"weight";3834;3857
"wet";1584;1614
"whiff";3033;3039
"white";11770;13078
"wild";3930;4066
"wine";66137;83104
"winemak";1619;1648
"wineri";2226;2257
"wood";6564;7126
"woodi";1049;1075
"work";912;917
"wrap";1366;1368
"year";9689;10120
"yeasti";1049;1095
"yellow";4139;4369
"young";4325;4409
"youth";1151;1154
"zest";3244;3278
"zesti";2922;2973
"zinfandel";1135;1165
