variety;temperature
Cabernet Franc;intermediate or warm
Cabernet Sauvignon;warm
Chardonnay;intermediate
Dolcetto;warm
Gewürztraminer;cold
Grenache;warm
Malbec;warm
Merlot;warm
Nebbiolo;warm
Pinot Gris;cold
Pinot Noir;cold or intermediate
Riesling;cold or intermediate
Sangiovese;warm
Sangiovese Grosso;warm
Sauvignon Blanc;intermediate
Sémillon;intermediate
Syrah;warm
Tempranillo;warm
Viognier;warm
Zinfandel;warm
