word;in_documents;total
acidity;29;30
aromas;27;27
black;24;29
blend;11;11
bodied;11;11
bright;11;11
cherry;23;26
dark;12;12
dry;11;11
fruit;33;36
full;11;11
oak;16;19
plum;11;12
red;14;14
rich;13;13
ripe;18;18
spice;14;14
sweet;12;12
tannins;25;25
white;12;15
